INSERT INTO SINONIMOS VALUES("AVC", "acidente vascular cerebral");
INSERT INTO SINONIMOS VALUES("25 mg / ml tópico", "2,5%");
INSERT INTO SINONIMOS VALUES("acetona", "cetona");
INSERT INTO SINONIMOS VALUES("polietilenoglicol 8", "peg-8");
INSERT INTO SINONIMOS VALUES("inaladores espaçadores", "spinhaler");
INSERT INTO SINONIMOS VALUES("acinonyx jubatus", "guepardo");
INSERT INTO SINONIMOS VALUES("perimenopausa", "pré-menopausa");
INSERT INTO SINONIMOS VALUES("lavanda officinalis", "lavanda");
INSERT INTO SINONIMOS VALUES("cérebro", "cerebral");
INSERT INTO SINONIMOS VALUES("canela winterana", "barbasco");
INSERT INTO SINONIMOS VALUES("geum", "Avens");
INSERT INTO SINONIMOS VALUES("cyamopsis", "guar");
INSERT INTO SINONIMOS VALUES("lente genus", "planta de lentilha");
INSERT INTO SINONIMOS VALUES("ulex europaeus", "tojo");
INSERT INTO SINONIMOS VALUES("oenothera biennis", "prímula");
INSERT INTO SINONIMOS VALUES("Manihot", "mandioca");
INSERT INTO SINONIMOS VALUES("leonurus", "motherwort");
INSERT INTO SINONIMOS VALUES("bardana maior", "lappa do arctium");
INSERT INTO SINONIMOS VALUES("Carthamus Tinctorius", "cártamo");
INSERT INTO SINONIMOS VALUES("guizotia abyssinica", "Níger");
INSERT INTO SINONIMOS VALUES("nissa", "tupelo");
INSERT INTO SINONIMOS VALUES("alocasia macrorrhizos", "malanga");
INSERT INTO SINONIMOS VALUES("coix", "planta de lágrimas de trabalho");
INSERT INTO SINONIMOS VALUES("oryza rufipogon", "arroz vermelho");
INSERT INTO SINONIMOS VALUES("saccharum", "cana de açúcar");
INSERT INTO SINONIMOS VALUES("mya", "amêijoas de casca mole");
INSERT INTO SINONIMOS VALUES("Gênero de câncer", "caranguejo");
INSERT INTO SINONIMOS VALUES("piroglifos", "ácaro da poeira doméstica");
INSERT INTO SINONIMOS VALUES("pieris brassicae", "grande branco");
INSERT INTO SINONIMOS VALUES("lateolabrax japonicus", "suzuki");
INSERT INTO SINONIMOS VALUES("espécies de anser", "Ganso");
INSERT INTO SINONIMOS VALUES("apus", "pássaro rápido");
INSERT INTO SINONIMOS VALUES("cavia porcellus", "cobaia");
INSERT INTO SINONIMOS VALUES("maranta", "araruta");
INSERT INTO SINONIMOS VALUES("filipendula", "meadowsweet");
INSERT INTO SINONIMOS VALUES("xanthosoma sagittifolium", "tania");
INSERT INTO SINONIMOS VALUES("alca", "pássaro do auk");
INSERT INTO SINONIMOS VALUES("eruca sativa", "Rúcula");
INSERT INTO SINONIMOS VALUES("Lethrinidae", "catadores");
INSERT INTO SINONIMOS VALUES("Rubus idaeus", "framboesa vermelha");
INSERT INTO SINONIMOS VALUES("tetranychidae", "ácaros");
INSERT INTO SINONIMOS VALUES("dryas iulia", "julia");
INSERT INTO SINONIMOS VALUES("channa", "opiocéfalo");
INSERT INTO SINONIMOS VALUES("gênero", "pássaro");
INSERT INTO SINONIMOS VALUES("santalum", "sândalo");
INSERT INTO SINONIMOS VALUES("ajuga", "cornetim");
INSERT INTO SINONIMOS VALUES("junonia", "precisão");
INSERT INTO SINONIMOS VALUES("crisântemo x morifolium", "mãe do jardim");
INSERT INTO SINONIMOS VALUES("circo cyaneus", "harrier");
INSERT INTO SINONIMOS VALUES("mitchella repens", "baga perdiz");
INSERT INTO SINONIMOS VALUES("guarda-chuva", "schefflera");
INSERT INTO SINONIMOS VALUES("hipopótamo", "espinheiro mar");
INSERT INTO SINONIMOS VALUES("smilax", "salsaparrilha");
INSERT INTO SINONIMOS VALUES("cnico", "cardo abençoado");
INSERT INTO SINONIMOS VALUES("Oxalis tuberosa", "planta oca");
INSERT INTO SINONIMOS VALUES("laburno indiano", "fístula cassia");
INSERT INTO SINONIMOS VALUES("betula sp.", "bétula");
INSERT INTO SINONIMOS VALUES("porteri ligusticum", "planta de osha");
INSERT INTO SINONIMOS VALUES("dioscorea alata", "inhame alado");
INSERT INTO SINONIMOS VALUES("Dioscorea oppositifolia", "inhame chinês");
INSERT INTO SINONIMOS VALUES("petasites", "butterbur");
INSERT INTO SINONIMOS VALUES("graphosoma lineatum", "percevejo");
INSERT INTO SINONIMOS VALUES("ruscus", "vassoura de açougueiro");
INSERT INTO SINONIMOS VALUES("cynara scolymus", "Alcachofra");
INSERT INTO SINONIMOS VALUES("cianquilo", "tylophora");
INSERT INTO SINONIMOS VALUES("tilia", "tília");
INSERT INTO SINONIMOS VALUES("capparis spinosa", "alcaparra");
INSERT INTO SINONIMOS VALUES("erva-cidreira", "citronela");
INSERT INTO SINONIMOS VALUES("ochroma", "balsa");
INSERT INTO SINONIMOS VALUES("esterilidade", "karaya");
INSERT INTO SINONIMOS VALUES("aspalathus", "rooibos");
INSERT INTO SINONIMOS VALUES("pinheiro pinaster", "pinheiro marítimo");
INSERT INTO SINONIMOS VALUES("hipocampo", "cavalo marinho");
INSERT INTO SINONIMOS VALUES("ziziphus", "zizifo");
INSERT INTO SINONIMOS VALUES("capsicum chinense", "habanero");
INSERT INTO SINONIMOS VALUES("aulopus", "hime");
INSERT INTO SINONIMOS VALUES("medronho menziesii", "madrone");
INSERT INTO SINONIMOS VALUES("musa x paradisiaca", "banana-da-terra");
INSERT INTO SINONIMOS VALUES("gallionellaceae", "bactérias de ferro");
INSERT INTO SINONIMOS VALUES("tien ma", "gastrodia elata");
INSERT INTO SINONIMOS VALUES("larrea divaricata", "chaparral");
INSERT INTO SINONIMOS VALUES("pyronia tithonus", "porteiro");
INSERT INTO SINONIMOS VALUES("iva", "planta de marshelder");
INSERT INTO SINONIMOS VALUES("tussilago farfara", "coltsfoot");
INSERT INTO SINONIMOS VALUES("Pediculidae", "piolho do corpo humano");
INSERT INTO SINONIMOS VALUES("azadirachta", "árvore neem");
INSERT INTO SINONIMOS VALUES("althaea", "planta de marshmallow");
INSERT INTO SINONIMOS VALUES("amburana", "Torres");
INSERT INTO SINONIMOS VALUES("eris", "aranha saltadora");
INSERT INTO SINONIMOS VALUES("lunaria annua", "honestidade");
INSERT INTO SINONIMOS VALUES("ziziphus mauritiana", "macieira chinesa");
INSERT INTO SINONIMOS VALUES("aquilegia", "aquilégia");
INSERT INTO SINONIMOS VALUES("muskroot", "doxa");
INSERT INTO SINONIMOS VALUES("pavo", "pássaro de pavão");
INSERT INTO SINONIMOS VALUES("uria", "ave marinha murre");
INSERT INTO SINONIMOS VALUES("euphrasia", "eyebright");
INSERT INTO SINONIMOS VALUES("acanthopanax", "ciwujia");
INSERT INTO SINONIMOS VALUES("sanguisorba", "burnet");
INSERT INTO SINONIMOS VALUES("adansonia", "baobá");
INSERT INTO SINONIMOS VALUES("scrophularia nodosa", "figwort");
INSERT INTO SINONIMOS VALUES("myrica", "bayberry");
INSERT INTO SINONIMOS VALUES("taraxacum", "dente de leão");
INSERT INTO SINONIMOS VALUES("Melia", "indica");
INSERT INTO SINONIMOS VALUES("ondibra zibethicus", "rato almiscarado");
INSERT INTO SINONIMOS VALUES("tenebrio molitor", "larva de farinha");
INSERT INTO SINONIMOS VALUES("equinácea", "coneflower roxo");
INSERT INTO SINONIMOS VALUES("preparação urtica", "urtigas");
INSERT INTO SINONIMOS VALUES("hemofilia", "hemofilia");
INSERT INTO SINONIMOS VALUES("cubozoa", "caixa de água-viva");
INSERT INTO SINONIMOS VALUES("trixenox", "trisenox");
INSERT INTO SINONIMOS VALUES("RNA pequeno interferindo", "sirna");
INSERT INTO SINONIMOS VALUES("micronilhas", "mirna");
INSERT INTO SINONIMOS VALUES("uncaria procumbens", "garra do diabo");
INSERT INTO SINONIMOS VALUES("preparação peltatum podophyllum", "mayapple");
INSERT INTO SINONIMOS VALUES("armoracia rusticana", "rábano");
INSERT INTO SINONIMOS VALUES("facial", "temporal");
INSERT INTO SINONIMOS VALUES("rheum rhaponicum", "Ruibarbo");
INSERT INTO SINONIMOS VALUES("preparação angelica sinensis", "dong quai");
INSERT INTO SINONIMOS VALUES("phleum pratense", "Timóteo");
INSERT INTO SINONIMOS VALUES("solanum melongena", "beringela");
INSERT INTO SINONIMOS VALUES("phlebotominae", "sandfly");
INSERT INTO SINONIMOS VALUES("Triticum aestivum", "planta de trigo");
INSERT INTO SINONIMOS VALUES("prunus", "pygeum");
INSERT INTO SINONIMOS VALUES("5-aminolevulinato", "aminolevulinato");
INSERT INTO SINONIMOS VALUES("estágio 4s", "metastático");
INSERT INTO SINONIMOS VALUES("nepeta cataria", "catnip");
INSERT INTO SINONIMOS VALUES("imri", "ressonância magnética intraoperatória");
INSERT INTO SINONIMOS VALUES("montanoa", "zoapatle");
INSERT INTO SINONIMOS VALUES("dnase humana recombinante", "dornase alfa");
INSERT INTO SINONIMOS VALUES("cabaça de hera", "coccinia");
INSERT INTO SINONIMOS VALUES("poa", "bluegrass");
INSERT INTO SINONIMOS VALUES("pongamia uliginosa", "tuba");
INSERT INTO SINONIMOS VALUES("medicina de nomenclatura sistematizada", "snomed");
INSERT INTO SINONIMOS VALUES("ptychopetalum", "muira puama");
INSERT INTO SINONIMOS VALUES("gusuibu", "drynaria");
INSERT INTO SINONIMOS VALUES("antagonistas da histamina h1 não sedativos", "anti-histamínicos de segunda geração");
INSERT INTO SINONIMOS VALUES("códigos de nomes de identificadores de observação lógica", "loinc");
INSERT INTO SINONIMOS VALUES("nomenclatura padrão do produto", "spn");
INSERT INTO SINONIMOS VALUES("fragaria x ananassa", "morango");
INSERT INTO SINONIMOS VALUES("Thesaurus nítidos", "csp");
INSERT INTO SINONIMOS VALUES("costart", "coding symbols thesaurus termos de reação adversa");
INSERT INTO SINONIMOS VALUES("1993", "base de dados");
INSERT INTO SINONIMOS VALUES("classificação diagnósticos de enfermagem", "Nanda");
INSERT INTO SINONIMOS VALUES("sistema de codificação de procedimentos comuns de cuidados de saúde", "hcpcs");
INSERT INTO SINONIMOS VALUES("vocabulário de nível sete de saúde", "hl7");
INSERT INTO SINONIMOS VALUES("laparoscopia cirúrgica", "nefrectomia parcial");
INSERT INTO SINONIMOS VALUES("preparação de saccharomyces cerevisiae", "levedura de cerveja");
INSERT INTO SINONIMOS VALUES("doenças do sistema nervoso autônomo", "disautonomia");
INSERT INTO SINONIMOS VALUES("intybus do cichorium", "chicória");
INSERT INTO SINONIMOS VALUES("solanum tuberosum", "batata");
INSERT INTO SINONIMOS VALUES("tempo: dose med substância: quantitativa", "dose");
INSERT INTO SINONIMOS VALUES("millefolium achillea", "Yarrow");
INSERT INTO SINONIMOS VALUES("genealógico", "família");
INSERT INTO SINONIMOS VALUES("traços", "herança");
INSERT INTO SINONIMOS VALUES("funil no peito", "pectus excavatum");
INSERT INTO SINONIMOS VALUES("maleato", "Clorato");
INSERT INTO SINONIMOS VALUES("trisalicilato de magnésio colina de colina", "Comprimidos CMT");
INSERT INTO SINONIMOS VALUES("docusato de sódio", "Fezes amaciante");
INSERT INTO SINONIMOS VALUES("catabolismo proteico associado", "errad");
INSERT INTO SINONIMOS VALUES("phamide", "Ciclofos");
INSERT INTO SINONIMOS VALUES("contrátil", "pescoço");
INSERT INTO SINONIMOS VALUES("localização de partícula de reconhecimento de sinal", "srp");
INSERT INTO SINONIMOS VALUES("localização de partículas de proteína de transporte", "armadilha");
INSERT INTO SINONIMOS VALUES("wyeth brand loratadine", "alavert");
INSERT INTO SINONIMOS VALUES("nefrogênese", "desenvolvimento renal");
INSERT INTO SINONIMOS VALUES("mesmo cpd", "S-adenosil-L-metionina 14-butanodissulfonato");
INSERT INTO SINONIMOS VALUES("anticorpo monoclonal hmfg1", "pemtumomab");
INSERT INTO SINONIMOS VALUES("beta de receptor de androstano constitutivo", "carbeta");
INSERT INTO SINONIMOS VALUES("essências florais cimicifuga racemosa", "cohosh preto");
INSERT INTO SINONIMOS VALUES("essências de flor do ranunculus acris", "botão de ouro");
INSERT INTO SINONIMOS VALUES("preparação para influenza", "Vacina da gripe");
INSERT INTO SINONIMOS VALUES("miofilamento de miosina", "filamento grosso");
INSERT INTO SINONIMOS VALUES("inervação segmentar", "5 nervos vertebrais lombares");
INSERT INTO SINONIMOS VALUES("ácido desoxirribonucleico", "dna");
INSERT INTO SINONIMOS VALUES("ducto lactífero terminal da parte extralobular", "etd");
INSERT INTO SINONIMOS VALUES("tronco apical do ramo do ramo apical artéria segmentar", "a1a");
INSERT INTO SINONIMOS VALUES("definir clivagem", "de langer");
INSERT INTO SINONIMOS VALUES("solócito", "célula livre");
INSERT INTO SINONIMOS VALUES("parte intratorácica", "meio");
INSERT INTO SINONIMOS VALUES("occipital", "cabeça da região lombar");
INSERT INTO SINONIMOS VALUES("bainha linfática periarterial", "amigo");
INSERT INTO SINONIMOS VALUES("eragrostis", "grama");
INSERT INTO SINONIMOS VALUES("Broussonetia papyrifera", "papel de amoreira");
INSERT INTO SINONIMOS VALUES("ribes rubrum", "groselha");
INSERT INTO SINONIMOS VALUES("hibiscus sabdariffa", "Roselle");
INSERT INTO SINONIMOS VALUES("calinaga buddha", "aberração");
INSERT INTO SINONIMOS VALUES("sia", "grilo de jerusalem");
INSERT INTO SINONIMOS VALUES("trigonidiinae", "cricket com cauda de espada");
INSERT INTO SINONIMOS VALUES("mene", "moonfish");
INSERT INTO SINONIMOS VALUES("hidrartrose", "derrame articular");
INSERT INTO SINONIMOS VALUES("derrame pleural", "peito fluido");
INSERT INTO SINONIMOS VALUES("acis", "floco de neve");
INSERT INTO SINONIMOS VALUES("essência de flor nelumbo nucifera", "lótus");
INSERT INTO SINONIMOS VALUES("ilex paraguayensis preparação homeopática", "erva mate");
INSERT INTO SINONIMOS VALUES("essência de flor de dicentra formosa", "coração sangrando");
INSERT INTO SINONIMOS VALUES("essência da flor do latifolius do lathyrus", "ervilha doce");
INSERT INTO SINONIMOS VALUES("essência de flor trifolium pratense", "trevo vermelho");
INSERT INTO SINONIMOS VALUES("essência da flor do diversiloba do rhus", "carvalho venenoso");
INSERT INTO SINONIMOS VALUES("essência de flor de capsium annuum", "Pimenta-caiena");
INSERT INTO SINONIMOS VALUES("essência de flor de tanacetum vulgare", "tansy");
INSERT INTO SINONIMOS VALUES("essência de flor de taraxacum officinale", "dente de leão");
INSERT INTO SINONIMOS VALUES("essência de flor de matricaria recutita", "camomila");
INSERT INTO SINONIMOS VALUES("essência de flor anethum graveolens", "aneto");
INSERT INTO SINONIMOS VALUES("parthenos sylvia", "clipper");
INSERT INTO SINONIMOS VALUES("mebendazol", "Ovex");
INSERT INTO SINONIMOS VALUES("marca de colina aminofilina", "carine");
INSERT INTO SINONIMOS VALUES("asparaginase marca sanfer", "leunase");
INSERT INTO SINONIMOS VALUES("ciclooxigenase-2", "cox 2");
INSERT INTO SINONIMOS VALUES("Jack", "eurycoma");
INSERT INTO SINONIMOS VALUES("difuso", "sistêmica progressiva");
INSERT INTO SINONIMOS VALUES("tlk-286", "tlk286");
INSERT INTO SINONIMOS VALUES("periferia total", "vascular sistêmico");
INSERT INTO SINONIMOS VALUES("ileus", "obstrução intestinal causando cólicas vômitos constipação");
INSERT INTO SINONIMOS VALUES("cistos", "cyct");
INSERT INTO SINONIMOS VALUES("preparação homeopática de saccharum lactis", "Leite doce");
INSERT INTO SINONIMOS VALUES("cólon transverso", "Flexura esplênica");
INSERT INTO SINONIMOS VALUES("snuffles", "coriza");
INSERT INTO SINONIMOS VALUES("pastinaca sativa", "pastinaca");
INSERT INTO SINONIMOS VALUES("pele cilíndrica dérmica écrina", "tumor do turbante");
INSERT INTO SINONIMOS VALUES("açao", "cirúrgico");
INSERT INTO SINONIMOS VALUES("agenesia", "atresia");
INSERT INTO SINONIMOS VALUES("constrição patológica", "estreitamento anormal");
INSERT INTO SINONIMOS VALUES("irrigação maxilar", "lavagem");
INSERT INTO SINONIMOS VALUES("mudando", "Novo");
INSERT INTO SINONIMOS VALUES("nível de glicose", "açúcar");
INSERT INTO SINONIMOS VALUES("sarcoma", "tecido mole do câncer");
INSERT INTO SINONIMOS VALUES("lactuca sativa", "alface");
INSERT INTO SINONIMOS VALUES("espinha articular desordem", "espondiloartropatia");
INSERT INTO SINONIMOS VALUES("infiltrando", "mama invasiva");
INSERT INTO SINONIMOS VALUES("urêmico", "urêmico");
INSERT INTO SINONIMOS VALUES("allium porrum", "alho-poró");
INSERT INTO SINONIMOS VALUES("glicina max", "soja");
INSERT INTO SINONIMOS VALUES("Pisum Sativum", "ervilha");
INSERT INTO SINONIMOS VALUES("allium cepa", "cebola");
INSERT INTO SINONIMOS VALUES("joelho do ligamento cruzado anterior", "acl");
INSERT INTO SINONIMOS VALUES("fração numérica (propriedade)", "nfr");
INSERT INTO SINONIMOS VALUES("subfamília erinaceinae", "ouriço");
INSERT INTO SINONIMOS VALUES("gênero equus", "cavalo");
INSERT INTO SINONIMOS VALUES("gênero sus", "porco");
INSERT INTO SINONIMOS VALUES("tréptil", "rebarba");
INSERT INTO SINONIMOS VALUES("(malposition)", "Torção");
INSERT INTO SINONIMOS VALUES("desintegração", "demolir");
INSERT INTO SINONIMOS VALUES("estrutura anormalmente opaca", "opacidade");
INSERT INTO SINONIMOS VALUES("digite b1", "linfocitário");
INSERT INTO SINONIMOS VALUES("tumor epitelial fusiforme com elemento semelhante ao timo", "resolver");
INSERT INTO SINONIMOS VALUES("função de densidade óptica", "absorbância");
INSERT INTO SINONIMOS VALUES("angioplastia coronária transluminal percutânea", "ptca");
INSERT INTO SINONIMOS VALUES("subfamília suinae", "porco");
INSERT INTO SINONIMOS VALUES("sensibilidade escotópica", "síndrome de irlen");
INSERT INTO SINONIMOS VALUES("infusão intravenosa", "solução iv");
INSERT INTO SINONIMOS VALUES("cumarina", "varfarina");
INSERT INTO SINONIMOS VALUES("matiz", "cor");
INSERT INTO SINONIMOS VALUES("Porzana carolina", "sora");
INSERT INTO SINONIMOS VALUES("acesso venoso implantável", "subcutâneo");
INSERT INTO SINONIMOS VALUES("co-mórbido", "comorbidade");
INSERT INTO SINONIMOS VALUES("desalinhamento", "desalinhamento");
INSERT INTO SINONIMOS VALUES("mão do dígito do prego da estrutura", "unha da mão");
INSERT INTO SINONIMOS VALUES("queilite", "lábio");
INSERT INTO SINONIMOS VALUES("tinea profunda", "granuloma de majocchi");
INSERT INTO SINONIMOS VALUES("diabeticorum", "eruptivo");
INSERT INTO SINONIMOS VALUES("promoção", "mantendo");
INSERT INTO SINONIMOS VALUES("estado de deterioração", "pior");
INSERT INTO SINONIMOS VALUES("anormalmente cedo", "antes do tempo");
INSERT INTO SINONIMOS VALUES("cachorro", "canino");
INSERT INTO SINONIMOS VALUES("deficiência de lipoproteína lipase familiar", "hipertrigliceridemia endógena");
INSERT INTO SINONIMOS VALUES("alimentar", "exógeno");
INSERT INTO SINONIMOS VALUES("estrutura embrião estágio 2", "blastômero");
INSERT INTO SINONIMOS VALUES("causa não diagnosticada", "essencial");
INSERT INTO SINONIMOS VALUES("atrophoderma maculatum", "anetoderma");
